blog_title,blog_content,blog_url,blog_image,category
Mi Notebook 14 Horizon Review,Can Xiaomi storm the laptop market like it did with phones and TVs?,https://gadgets.ndtv.com/laptops/reviews/mi-notebook-14-horizon-edition-review-india-price-performance-core-i7-geforce-mx350-2246961,https://i.gadgets360cdn.com/large/mi_notebook_14_horizon_edition_front_ndtv_1592288575582.jpg?output-quality=80&output-format=webp,laptop
Rebranded Redmibook likely to be launched in India by July 11,The Rebranded RedMi laptop will launch on June 11 and will fall under the Mi brand.,https://www.gizbot.com/laptop/news/rebranded-redmibook-13-india-launch-date-hinted-068018.html,https://www.gizbot.com/img/2020/06/xrebranded-redmibook-13-india-launch-date-hinted-1590989434.jpg.pagespeed.ic.jHQA1VEdXP.jpg,laptop
Dell Latitude 9510 2 in 1 Laptop launched,The laptop has been optimized using AI and is also Project Athena certified.,https://www.gizbot.com/laptop/news/dell-latitude-9510-2-in-1-laptop-launched-for-rs-1-49-000-in-india-068034.html,https://www.gizbot.com/img/2020/06/dell-latitude-9510-2-in-1-laptop-launched-for-rs-1-49-000-in-india-1591025119.jpg,laptop
Acer Predator Helios 300 PH315-52 Review,Acer has been in the computer business for a long time. The company makes laptops ranging from entry-level models to high-fidelity work stations and the Acer Predator Helios PH315-52 sits right between them,https://www.gizbot.com/laptop/reviews/acer-predator-helios-300-ph315-52-review-excellent-laptop-for-personal-professional-use-066698.html,https://www.gizbot.com/img/2020/04/xacer-predator-helios-300-ph315-52-review-excellent-laptop-for-personal-professional-use3-1585717778.jpg.pagespeed.ic.lpitt2MHDK.jpg,laptop
"Lenovo IdeaPad S340: Sleek, Lightweight, And Perfect For Everyday Use","A smartphone can handle almost all the operations of a laptop today, yet, we still prefer a laptop for its larger display, computational capabilities, and other functionalities.",https://www.gizbot.com/laptop/reviews/lenovo-ideapad-s340-sleek-lightweight-and-perfect-063288.html,https://www.gizbot.com/img/2019/10/lenovo-ideapad-s340-sleek-lightweight-and-perfect-1572325813.jpg,laptop
"Xiaomi May Launch Two New Budget Phones, Said to Be Priced Below Redmi 10X",The upcoming phones are said to be powered by MediaTek’s Helio G8x series of processors.,https://gadgets.ndtv.com/mobiles/news/xiaomi-budget-phones-redmi-10x-price-9-series-9a-2247077,https://i.gadgets360cdn.com/large/Xiaomi_two_new_phones_1592295065801.jpg?output-quality=80&output-format=webp,mobile
"HTC Desire 20 Pro, HTC U20 5G With Quad Rear Cameras, Hole-Punch Display Launched: Specifications",The HTC Desire 20 Pro and HTC U20 5G phones have a 48-megapixel main camera with f/1.8 aperture and a rear fingerprint scanner.,https://gadgets.ndtv.com/mobiles/news/htc-desire-20-pro-u20-5g-phones-launch-price-specifications-availability-2247184,https://i.gadgets360cdn.com/large/htc_u20_5g_1592304953000.jpg?output-quality=80&output-format=webp,mobile
Qualcomm launches new Snapdragon 690 processor to add 5G to budget phones,Along with support for 4K HDR video and 120Hz displays,https://www.theverge.com/circuitbreaker/2020/6/16/21286692/qualcomm-snapdragon-690-processor-5g-budget-phones-120-hz-4k-hdr-video,https://cdn.vox-cdn.com/thumbor/H2BKAcmqO2Em6X9VUUaJjYyA6-0=/0x0:4128x2752/920x613/filters:focal(1734x1046:2394x1706):format(webp)/cdn.vox-cdn.com/uploads/chorus_image/image/66944348/Snapdragon_690_Reference_Design__5G__Office_Background_English.0.jpg,mobile
Affordable 5G phones will arrive this year,With support of 198mp cameras affordable phones arrive this year,https://www.techradar.com/news/affordable-5g-phones-will-arrive-this-year-with-support-for-cameras-up-to-198mp,https://cdn.mos.cms.futurecdn.net/cBwgUueTLPyD8YveTKgD2K-650-80.jpg.webp,mobile
14 Huawei phones will get updated EMUI 10.1 custom skin,"Huawei says EMUI 10.1 will bring better compatibility between devices and feature Celia, a voice assistant to replace Google Assistant.",https://www.cnet.com/news/huawei-reveals-which-phones-will-get-emui-10-1-update/,https://i.gadgets360cdn.com/products/large/1546246924_635_huaweiy7peo_db.jpg,mobile
